year,domain,title,representation,realism,scale,url,author
2021,Power,Item - 10kV-400V Grid Topologies - figshare - Figshare,Tabular,Real,Large-Benchmark,https://figshare.com/articles/dataset/10kV-400V_Grid_Topologies/14604663,Aeishwarya Baviskar and Kaushik Das and Matti Juhani Koivisto and Anca Daniela Hansen
2021,Power,Item - 60kV Grid-Topology - Technical University of Denmark - Figshare,Tabular,Real,Large-Benchmark,https://data.dtu.dk/articles/dataset/60kV_Grid-Topology/14501406,Aeishwarya Baviskar and Kaushik Das and Anca Daniela Hansen and Matti Juhani Koivisto
2022,Power,European power grid network with nodal prices,Tabular,Anonymized,Small/Single-domain,https://zenodo.org/records/7037956,Antoine Marot
2023,Electronics,CktGNN: Circuit Graph Neural Network for Electronic Design Automation,Tabular,Synthetic,Large-Benchmark,https://github.com/zehao-dong/CktGNN,Zehao Dong and Weidong Cao and Muhan Zhang and Dacheng Tao and Yixin Chen and Xuan Zhang
2023,Electronics,ASU-VDA-Lab/ML-for-IR-drop: These benchmarks were used as a part of the ICCAD23 Contest Problem C ML for static IR drop prediction,Tabular,Real,Large-Benchmark,https://github.com/ASU-VDA-Lab/ML-for-IR-drop/tree/main,ICCAD23 Contest
2023,Power,Reference data set for a Norwegian medium voltage power distribution system,Tabular,Anonymized,Large-Benchmark,https://zenodo.org/records/7703070,Iver Bakken Sperstad and Olav Bjarte Fosso and Sigurd Hofsmo Jakobsen and Arnt Ove Eggen and Julie Helen Evenstuen and Gerd KjÃ¸lle
2024,Power,Structured Power Grid Simulation Dataset for Machine Learning: Failure and Survival Events in Grid2Op's L2RPN WCCI 2022 Environment,Tabular,Real,Large-Benchmark,https://zenodo.org/records/13948340,Malte Lehna and Mohamed Hassouna and Dmitry Degtyar and Sven Tomforde and Christoph Scholz
2024,Power,Georeferentiation of CORE-TSO substations with OSM,Tabular,Real,Large-Benchmark,https://zenodo.org/records/13367535,Oriol Raventos Morera
2024,Power,synthetic power grid dataset,Tabular,Synthetic,Large-Benchmark,https://zenodo.org/records/14272557,In-Bum Chung
2024,Power,Line list for the transmission grid in Germany and interconnectors in 2030 (lines_eom_plus) (lines_transmission_germany_eomplus),Tabular,Real,Large-Benchmark,https://openenergyplatform.org/database/tables/lines_transmission_germany_eomplus,Open Energy Platform
2025,Power,Power Distribution Networks Planning in Meshed Loop-Feeder or Open-Loop Topology,Tabular,Anonymized,Large-Benchmark,https://data.mendeley.com/datasets/yy8spz6v5t/1,marco Maccioni and Renato Bruni and Ludovico Nati
2025,Power,Grid Topology for the IKT Simulation,Tabular,Real,Large-Benchmark,https://zenodo.org/records/15688472,Fernando Penaherrera
